"","id","host_id","host_acceptance_rate","host_listings_count","host_verifications","accommodates","bathrooms","beds","minimum_nights","maximum_nights","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_l30d","first_review","review_scores_rating","instant_bookable","calculated_host_listings_count","reviews_per_month","p_host_acceptance_rate","n_days_since","flag_days_since","flag_reviews_per_month","flag_number_of_reviews","flag_review_scores_rating","f_neighbourhood_cleansed","f_property_type","price_daily","ln_price","accommodates2","ln_review_scores_rating","n_days_since2","n_days_since3","n_accommodates2","d_host_is_superhost","d_host_identity_verified","d_host_has_profile_pic","f_bathroom","f_number_of_reviews","f_minimum_nights","tv","heating","wifi","coffee_maker","AC","refrigerator","microwave","hot_water","long_term_stay"
"38",154529,743327,17,1,"['email', 'phone']",2,1,1,6,30,"1",23,53,83,349,"2022-12-30",11,1,"2018-06-19",5,"0",1,0.2,17,1655,0,0,0,0,"Frederiksberg","Entire Unit",105,4.65396035015752,4,1.6094379124341,2739025,4533086375,4,"0","1","1","1","1","3",1,1,1,0,0,1,1,1,1
"39",507911,119548,89,1,"['email', 'phone']",3,1,3,6,62,"1",0,0,0,83,"2022-12-30",61,0,"2012-07-30",4.9,"0",1,0.48,89,3805,0,0,0,0,"Indre By","Entire Unit",154,5.03695260241363,9,1.58923520511658,14478025,55088885125,9,"0","1","1","1","2","3",1,1,1,1,0,1,1,1,1
"41",513116,2527577,100,1,"['email', 'phone']",4,1.5,3,3,1125,"1",1,1,1,1,"2022-12-30",36,0,"2013-08-22",4.94,"0",1,0.32,100,3417,0,0,0,0,"Amager Vest","Entire Unit",168,5.12396397940326,16,1.59736533119983,11675889,39896512713,16,"0","1","1","1","1","3",1,1,0,1,0,1,1,1,1
"42",158241,759451,0,1,"['email', 'phone', 'work_email']",3,1,2,3,28,"1",0,0,29,304,"2022-12-30",46,0,"2016-07-24",4.96,"0",1,0.59,0,2350,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",144,4.969813299576,9,1.60140574073684,5522500,12977875000,9,"0","1","1","1","1","3",1,1,1,1,0,1,0,1,1
"43",171546,818458,0,1,"['email', 'phone']",2,1,1,5,730,"1",0,0,0,0,"2022-12-30",63,0,"2014-05-05",4.81,"0",1,0.6,0,3161,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",106,4.66343909411207,4,1.57069708411767,9991921,31584462281,4,"0","1","1","1","2","3",0,1,1,0,0,1,0,1,1
"44",514666,2535149,61,1,"['email', 'phone']",6,1,2,2,1125,"1",7,19,43,318,"2022-12-30",118,0,"2012-07-31",4.56,"0",1,0.93,61,3804,0,0,0,0,"sterbro","Entire Unit",199,5.29330482472449,36,1.51732262352629,14470416,55045462464,36,"0","1","1","1","2","2",1,1,1,1,0,1,0,1,1
"45",516039,2541479,0,1,"['email', 'phone']",4,1,5,2,7,"1",3,13,19,213,"2022-12-30",23,0,"2013-01-02",4.61,"0",1,0.19,0,3649,0,0,0,0,"Frederiksberg","Entire Unit",84,4.43081679884331,16,1.52822785700856,13315201,48587168449,16,"0","1","1","1","1","2",0,1,1,0,0,1,0,0,0
"46",517272,2546236,69,1,"['email', 'phone']",6,1,3,5,21,"1",0,0,0,8,"2022-12-30",37,0,"2013-08-11",4.95,"0",1,0.32,69,3428,0,0,0,0,"sterbro","Condominium",182,5.2040066870768,36,1.5993875765806,11751184,40283058752,36,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,0
"47",720038,3714910,50,1,"['email', 'phone']",3,1,1,7,30,"1",0,0,0,0,"2022-12-30",19,1,"2013-09-09",4.89,"0",1,0.17,50,3399,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",109,4.69134788222914,9,1.58719230348678,11553201,39269330199,9,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,1
"48",721973,3727769,100,1,"['email', 'phone']",2,1,1,1,180,"1",13,26,56,304,"2022-12-30",111,2,"2016-05-10",4.62,"1",1,1.37,100,2425,0,0,0,0,"Indre By","Entire Unit",112,4.71849887129509,4,1.53039470509365,5880625,14260515625,4,"0","1","1","1","2","1",1,1,1,0,0,1,0,1,1
"50",729171,1424919,0,1,"['email', 'phone']",2,1,1,1,14,"1",0,0,0,0,"2022-12-30",36,0,"2012-10-29",4.84,"0",1,0.29,0,3714,0,0,0,0,"Nrrebro","Condominium",91,4.51085950651685,4,1.57691472072854,13793796,51230158344,4,"0","0","1","1","1","1",0,0,1,0,0,1,0,1,0
"51",519333,2555736,100,1,"['email', 'phone']",3,1,2,2,7,"1",3,3,3,3,"2022-12-30",28,0,"2012-10-23",5,"0",1,0.23,100,3720,0,0,0,0,"Indre By","Entire Unit",161,5.08140436498446,9,1.6094379124341,13838400,51478848000,9,"0","0","1","1","1","2",1,1,1,0,0,1,0,1,0
"53",521617,2484983,71,1,"['email', 'phone']",6,1,4,4,30,"1",0,0,0,0,"2022-12-30",117,0,"2012-07-05",4.91,"0",1,0.92,71,3830,0,0,0,0,"sterbro","Condominium",189,5.24174701505964,36,1.59127394180643,14668900,56181887000,36,"0","1","1","1","2","3",1,1,1,1,0,0,0,0,0
"55",524476,2578994,0,1,"['email', 'phone']",3,1,3,4,14,"1",0,0,0,0,"2022-12-30",32,0,"2012-08-27",4.93,"0",1,0.25,0,3777,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",95,4.55387689160054,9,1.5953389880546,14265729,53881658433,9,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,0
"56",729196,574977,50,1,"['email', 'phone']",2,1,3,4,30,"1",0,0,16,203,"2022-12-30",16,0,"2013-01-01",4.81,"0",1,0.13,50,3650,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",175,5.16478597392351,4,1.57069708411767,13322500,48627125000,4,"0","1","1","1","1","3",1,1,1,0,0,0,0,0,1
"57",731062,3803177,67,2,"['phone']",2,1,1,2,14,"1",14,31,31,45,"2022-12-30",26,1,"2017-08-13",4.96,"0",1,0.4,67,1965,0,0,0,0,"Amager Vest","Entire Unit",154,5.03695260241363,4,1.60140574073684,3861225,7587307125,4,"1","1","1","1","1","2",0,1,1,1,0,1,0,1,0
"58",731763,2934381,0,1,"['email', 'phone']",2,1,1,4,1125,"1",0,0,0,0,"2022-12-30",16,0,"2012-12-31",4.07,"0",1,0.13,0,3651,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",105,4.65396035015752,4,1.4036429994545,13329801,48667103451,4,"0","0","1","1","1","3",1,0,1,0,0,0,0,0,1
"59",194022,941790,74,1,"['email', 'phone']",4,1,2,3,21,"1",26,56,86,353,"2022-12-30",163,0,"2011-08-25",4.8,"0",1,1.18,74,4145,0,0,0,0,"Nrrebro","Loft",279,5.63121178182137,16,1.56861591791385,17181025,71215348625,16,"0","1","1","1","2","3",1,1,1,0,0,0,0,1,0
"60",735068,3834396,0,1,"['phone']",2,1,1,3,14,"1",25,34,34,34,"2022-12-30",89,0,"2012-10-22",4.81,"0",1,0.72,0,3721,0,0,0,0,"Frederiksberg","Entire Unit",86,4.45434729625351,4,1.57069708411767,13845841,51520374361,4,"0","1","1","1","2","3",0,1,1,1,0,1,0,0,0
"61",527702,1203690,90,1,"['email', 'phone']",3,1,2,2,1125,"1",22,52,82,262,"2022-12-30",156,0,"2014-04-08",4.83,"0",1,1.47,90,3188,0,0,0,0,"Indre By","Loft",200,5.29831736654804,9,1.57484646766448,10163344,32400740672,9,"0","1","1","1","2","2",0,1,1,1,0,1,0,1,1
"62",206861,999404,86,1,"['email', 'phone']",4,1,2,3,30,"1",0,0,0,0,"2022-12-30",61,0,"2011-10-23",4.92,"0",1,0.45,86,4086,0,0,0,0,"Nrrebro","Entire Unit",147,4.99043258677874,16,1.59330853050422,16695396,68217388056,16,"0","1","1","1","2","3",0,0,1,1,0,1,1,1,1
"63",218854,168254,20,1,"['email', 'phone']",2,1,1,4,21,"1",24,42,55,290,"2022-12-30",23,0,"2011-10-10",4.82,"0",1,0.17,20,4099,0,0,0,0,"Nrrebro","Entire Unit",112,4.71849887129509,4,1.57277392806251,16801801,68870582299,4,"0","0","1","1","1","3",1,1,1,0,0,0,0,0,0
"64",225323,293636,50,1,"['email', 'phone']",2,1,1,4,60,"1",0,0,0,0,"2022-12-30",24,0,"2012-04-01",4.85,"0",1,0.18,50,3925,0,0,0,0,"Indre By","Entire Unit",130,4.86753445045558,4,1.57897870494939,15405625,60467078125,4,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"65",529881,2603130,70,1,"['email', 'phone']",5,1,4,5,47,"1",1,11,11,84,"2022-12-30",16,0,"2012-07-26",4.81,"0",1,0.13,70,3809,0,0,0,0,"sterbro","Condominium",131,4.87519732320115,25,1.57069708411767,14508481,55262804129,25,"0","1","1","1","1","3",1,1,1,0,0,1,1,1,1
"66",753661,3964327,0,1,"['email', 'phone']",3,1,1,2,1125,"1",0,2,2,154,"2022-12-30",32,0,"2013-01-03",4.72,"0",1,0.26,0,3648,0,0,0,0,"Nrrebro","Entire Unit",104,4.64439089914137,9,1.55180879959746,13307904,48547233792,9,"0","1","1","1","1","2",1,1,1,0,0,0,0,1,1
"67",240802,1263184,75,1,"['email', 'phone']",4,1,4,2,14,"1",0,27,57,147,"2022-12-30",9,0,"2011-12-06",5,"0",1,0.07,75,4042,0,0,0,0,"Nrrebro","Entire Unit",291,5.67332326717149,16,1.6094379124341,16337764,66037242088,16,"0","1","1","1","1","2",1,1,1,1,0,1,0,1,0
"68",758899,706027,60,1,"['email', 'phone']",6,1.5,3,5,1125,"1",0,0,0,0,"2022-12-30",3,0,"2022-07-22",5,"0",1,0.56,60,161,0,0,0,0,"Indre By","Condominium",141,4.94875989037817,36,1.6094379124341,25921,4173281,36,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,1
"69",761032,3235759,18,1,"['email', 'phone']",4,1,1,5,1125,"1",1,10,10,202,"2022-12-30",13,0,"2012-11-27",5,"0",1,0.11,18,3685,0,0,0,0,"Frederiksberg","Entire Unit",168,5.12396397940326,16,1.6094379124341,13579225,50039444125,16,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"71",532209,1281066,100,1,"['email', 'phone']",2,1,1,5,60,"1",0,16,16,16,"2022-12-30",24,1,"2012-07-10",4.36,"0",1,0.19,100,3825,0,0,0,0,"sterbro","Condominium",135,4.90527477843843,4,1.47247205736094,14630625,55962140625,4,"0","1","1","1","1","3",0,1,1,1,0,1,0,1,1
"72",533060,2619529,29,1,"['email', 'phone']",6,1,6,3,1125,"1",28,58,88,356,"2022-12-30",26,0,"2014-06-10",5,"0",1,0.25,29,3125,0,0,0,0,"Frederiksberg","Entire Unit",343,5.83773044716594,36,1.6094379124341,9765625,30517578125,36,"0","1","1","1","1","3",1,1,1,0,0,0,0,0,1
"73",242494,1162404,55,2,"['email', 'phone']",5,1,2,5,60,"1",0,2,2,96,"2022-12-30",14,0,"2012-01-14",4.46,"0",2,0.1,55,4003,0,0,0,0,"Frederiksberg","Entire Unit",120,4.78749174278205,25,1.49514876603197,16024009,64144108027,25,"0","1","1","1","1","3",0,1,1,0,0,0,0,0,1
"76",768646,126777,85,3,"['email', 'phone']",6,1,3,2,21,"1",20,44,74,345,"2022-12-30",119,0,"2013-06-15",4.86,"0",3,1.02,85,3485,0,0,0,0,"Amager Vest","Entire Unit",342,5.8348107370626,36,1.5810384379124,12145225,42326109125,36,"1","1","1","1","2","2",1,1,0,1,0,1,0,1,0
"77",534399,2626034,0,1,"['email', 'phone']",3,1,2,2,1125,"1",0,27,57,328,"2022-12-30",26,0,"2016-05-15",4.96,"0",1,0.32,0,2420,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",175,5.16478597392351,9,1.60140574073684,5856400,14172488000,9,"0","1","1","1","1","2",1,1,1,0,0,0,0,0,1
"78",258670,848166,33,1,"['email', 'phone', 'work_email']",3,1,2,2,7,"1",0,27,28,84,"2022-12-30",110,0,"2011-11-23",4.76,"0",1,0.81,33,4055,0,0,0,0,"Frederiksberg","Entire Unit",104,4.64439089914137,9,1.56024766824333,16443025,66676466375,9,"0","1","1","1","2","2",1,0,1,0,0,1,0,1,0
"80",535179,2629560,90,1,"['email', 'phone']",4,1,2,1,14,"1",0,1,2,2,"2022-12-30",39,0,"2012-08-03",4.66,"0",1,0.31,90,3801,0,0,0,0,"Amager Vest","Entire Unit",126,4.83628190695148,16,1.53901544813755,14447601,54915331401,16,"1","1","1","1","1","1",1,1,1,0,0,1,1,1,0
"81",775758,4091912,100,1,"['email', 'phone']",4,2,3,4,40,"1",0,0,0,0,"2022-12-30",3,0,"2019-01-03",5,"0",1,0.06,100,1457,0,0,0,0,"Amager Vest","Entire Unit",136,4.91265488573605,16,1.6094379124341,2122849,3092990993,16,"0","1","1","2","1","3",1,1,1,0,0,1,1,0,1
"82",263036,1232471,29,1,"['email', 'phone']",2,0,2,4,10,"1",23,53,83,83,"2022-12-30",22,0,"2012-01-02",4.85,"0",1,0.16,29,4015,0,0,0,0,"Nrrebro","Entire Unit",127,4.84418708645859,4,1.57897870494939,16120225,64722703375,4,"0","1","1","0","1","3",0,1,1,0,0,1,0,1,0
"83",780893,4118499,95,1,"['email', 'phone']",4,2,2,3,14,"1",1,1,1,1,"2022-12-30",126,1,"2013-02-11",4.93,"1",1,1.05,95,3609,0,0,0,0,"Indre By","Entire Unit",244,5.4971682252932,16,1.5953389880546,13024881,47006795529,16,"1","1","1","2","2","3",1,1,1,1,0,1,1,1,0
"85",269188,1410104,52,3,"['email', 'phone', 'work_email']",4,1,1,1,365,"1",25,28,57,147,"2022-12-30",31,2,"2015-07-12",4.97,"0",3,0.34,52,2728,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",200,5.29831736654804,16,1.60341984010854,7441984,20301732352,16,"0","1","1","1","1","1",1,1,1,0,0,1,0,1,1
"86",786831,4147986,89,1,"['email', 'phone']",2,1,1,4,50,"1",1,29,59,59,"2022-12-30",92,1,"2012-11-26",4.73,"0",1,0.75,89,3686,0,0,0,0,"Nrrebro","Entire Unit",136,4.91265488573605,4,1.55392520250384,13586596,50080192856,4,"0","1","1","1","2","3",0,1,1,0,0,1,0,1,1
"87",279685,1458132,0,1,"['email', 'phone']",2,1,1,6,220,"1",0,0,29,304,"2022-12-30",17,0,"2012-08-15",4.38,"0",1,0.13,0,3789,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",186,5.2257466737132,4,1.47704872438835,14356521,54396858069,4,"0","1","1","1","1","3",0,1,0,0,0,1,0,1,1
"88",554546,2725780,29,2,"['email', 'phone']",4,1,1,5,28,"1",1,28,28,109,"2022-12-31",105,0,"2012-08-13",4.84,"0",1,0.83,29,3792,0,0,0,0,"sterbro","Entire Unit",180,5.19295685089021,16,1.57691472072854,14379264,54526169088,16,"0","1","1","1","2","3",1,1,1,1,0,1,0,1,1
"89",789211,3989372,45,5,"['email', 'phone']",4,1,2,3,1125,"1",27,57,87,362,"2022-12-30",96,0,"2013-06-18",4.59,"0",1,0.83,45,3482,0,0,0,0,"sterbro","Entire Unit",308,5.73009978297357,16,1.52388002407245,12124324,42216896168,16,"0","1","1","1","2","3",1,1,1,0,0,1,1,1,1
"90",792378,4174590,0,1,"['email', 'phone', 'work_email']",6,2,6,6,21,"1",26,56,86,361,"2022-12-30",6,0,"2013-08-05",5,"0",1,0.05,0,3434,0,0,0,0,"sterbro","Entire Unit",333,5.80814248998044,36,1.6094379124341,11792356,40494950504,36,"0","1","1","2","1","3",0,1,1,1,0,1,0,1,0
"91",797839,4201469,55,1,"['email', 'phone']",3,1,2,2,30,"1",0,0,0,0,"2022-12-30",59,0,"2015-04-27",4.84,"0",1,0.63,55,2804,0,0,0,0,"Frederiksberg","Entire Unit",133,4.89034912822175,9,1.57691472072854,7862416,22046214464,9,"0","0","1","1","2","2",1,1,1,0,0,1,0,1,1
"92",802110,268171,92,3,"['email', 'phone']",3,1,1,12,1125,"1",20,21,51,51,"2022-12-30",7,0,"2013-06-12",4.83,"0",3,0.06,92,3488,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",46,3.8286413964891,9,1.57484646766448,12166144,42435510272,9,"0","1","1","1","1","3",1,1,1,0,0,1,1,1,1
"93",555145,2728351,88,1,"['email', 'phone']",4,1,3,5,14,"1",0,0,0,94,"2022-12-30",6,0,"2014-04-18",5,"0",1,0.06,88,3178,0,0,0,0,"sterbro","Entire Unit",154,5.03695260241363,16,1.6094379124341,10099684,32096795752,16,"0","1","1","1","1","3",0,1,1,1,0,1,0,1,0
"94",287737,1494596,67,1,"['email', 'phone', 'work_email']",2,1,1,3,14,"1",3,4,16,16,"2022-12-30",57,0,"2012-05-08",4.64,"0",1,0.44,67,3888,0,0,0,0,"Nrrebro","Entire Unit",78,4.35670882668959,4,1.53471436623816,15116544,58773123072,4,"0","1","1","1","2","3",1,1,1,0,0,1,0,1,0
