"","id","host_id","host_acceptance_rate","host_listings_count","host_verifications","latitude","longitude","accommodates","bathrooms","beds","price","minimum_nights","maximum_nights","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_l30d","first_review","review_scores_rating","instant_bookable","calculated_host_listings_count","reviews_per_month","p_host_acceptance_rate","n_days_since","flag_days_since","flag_reviews_per_month","flag_number_of_reviews","flag_review_scores_rating","f_neighbourhood_cleansed","f_property_type","price_daily","ln_price","accommodates2","ln_review_scores_rating","n_days_since2","n_days_since3","n_accommodates2","d_host_is_superhost","d_host_identity_verified","d_host_has_profile_pic","f_bathroom","f_number_of_reviews","f_minimum_nights","tv","heating","wifi","coffee_maker","AC","refrigerator","microwave","hot_water","long_term_stay"
"13",37159,160390,NA,1,"['email', 'phone']",55.68547,12.56543,4,1,3,2654,5,21,"1",0,0,0,0,"2022-12-30",11,0,"2010-08-11",5,"0",1,0.07,NA,4524,0,0,0,0,"Indre By","Entire Unit",88,4.47733681447821,16,1.6094379124341,20466576,92590789824,16,"0","1","1","1","1","3",1,1,1,0,0,0,0,0,0
"14",697046,3570281,31,1,"['email', 'phone']",55.66744,12.493,3,1,4,1050,4,1125,"1",20,50,80,355,"2022-12-30",21,0,"2013-01-03",4.65,"0",1,0.17,31,3648,0,0,0,0,"Valby","Condominium",35,3.55534806148941,9,1.53686721959926,13307904,48547233792,9,"0","0","1","1","1","3",1,1,1,0,0,1,0,1,1
"15",476283,2360914,NA,1,"['email', 'phone', 'work_email']",55.65814,12.567,5,1,3,1746,7,30,"1",0,0,0,16,"2022-12-30",27,0,"2012-06-26",4.96,"1",1,0.21,NA,3839,0,0,0,0,"Amager Vest","Entire Unit",58,4.06044301054642,25,1.60140574073684,14737921,56578878719,25,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"16",477800,2352509,100,1,"['email', 'phone']",55.69782,12.58056,6,1.5,4,1130,5,1125,"1",0,0,0,0,"2022-12-30",31,0,"2012-07-28",4.83,"0",1,0.24,100,3807,0,0,0,0,"sterbro","Condominium",38,3.63758615972639,36,1.57484646766448,14493249,55175798943,36,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"17",480083,2377798,41,1,"['email', 'phone']",55.68926,12.54708,4,1,1,1043,3,31,"1",16,34,51,97,"2022-12-30",21,0,"2013-08-28",4.85,"0",1,0.18,41,3411,0,0,0,0,"Nrrebro","Condominium",35,3.55534806148941,16,1.57897870494939,11634921,39686715531,16,"0","1","1","1","1","3",0,1,1,1,0,1,0,1,1
"18",38499,122489,75,1,"['email', 'phone']",55.6842880249023,12.57301902771,5,1,1,1900,14,70,"1",0,0,0,87,"2022-12-30",15,0,"2010-08-21",5,"0",1,0.1,75,4514,0,0,0,0,"Indre By","Entire Unit",63,4.14313472639153,25,1.6094379124341,20376196,91978148744,25,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"19",700271,3592408,57,1,"['email', 'phone']",55.68992,12.56523,2,1,1,1190,4,42,"1",0,0,0,0,"2022-12-30",33,1,"2013-01-03",4.88,"0",1,0.27,57,3648,0,0,0,0,"Nrrebro","Condominium",40,3.68887945411394,4,1.58514521986506,13307904,48547233792,4,"0","0","1","1","1","3",1,0,1,0,0,1,0,1,1
"20",71168,141625,60,1,"['email', 'phone']",55.67806,12.55044,4,1.5,2,2096,2,32,"1",0,0,0,0,"2022-12-30",10,0,"2013-08-10",5,"0",1,0.09,60,3429,0,0,0,0,"Frederiksberg","Condominium",70,4.24849524204936,16,1.6094379124341,11758041,40318322589,16,"0","1","1","1","1","2",1,1,1,0,0,0,0,0,1
"21",487549,2412622,32,1,"['email', 'phone']",55.67029,12.54127,5,1,3,1200,5,14,"1",0,0,0,58,"2022-12-30",5,0,"2022-04-17",5,"0",1,0.58,32,257,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",40,3.68887945411394,25,1.6094379124341,66049,16974593,25,"0","0","1","1","1","3",1,1,1,1,0,1,0,0,0
"22",112292,573172,75,1,"['email', 'phone', 'work_email']",55.68068,12.54581,5,1,5,1636,6,40,"1",1,1,1,28,"2022-12-30",34,0,"2011-08-01",4.83,"0",1,0.24,75,4169,0,0,0,0,"Frederiksberg","Entire Unit",55,4.00733318523247,25,1.57484646766448,17380561,72459558809,25,"0","0","1","1","1","3",1,1,1,0,0,0,0,0,1
"23",113508,577366,100,3,"['email', 'phone', 'work_email']",55.67757,12.55608,5,1,2,4370,2,1125,"1",30,60,90,213,"2022-12-30",30,1,"2011-12-05",4.97,"0",1,0.22,100,4043,0,0,0,0,"Frederiksberg","Entire Unit",146,4.98360662170834,25,1.60341984010854,16345849,66086267507,25,"1","1","1","1","1","2",1,0,1,0,1,1,0,1,1
"24",708262,3642026,100,1,"['email', 'phone']",55.66756,12.55075,2,1,1,1200,7,1125,"1",0,0,14,104,"2022-12-30",11,0,"2016-12-04",5,"1",1,0.15,100,2217,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",40,3.68887945411394,4,1.6094379124341,4915089,10896752313,4,"0","1","1","1","1","3",1,1,1,1,0,1,1,0,1
"25",489563,167123,97,2,"['email', 'phone']",55.66729,12.59737,2,1,1,903,3,30,"1",22,49,70,294,"2022-12-30",155,0,"2012-05-28",4.77,"0",1,1.2,97,3868,0,0,0,0,"Amager Vest","Entire Unit",30,3.40119738166216,4,1.56234630490025,14961424,57870788032,4,"0","1","1","1","2","3",0,1,1,1,0,1,0,1,1
"26",489653,2399319,71,1,"['email', 'phone', 'work_email']",55.69103,12.54436,3,1,3,943,3,14,"1",0,0,0,0,"2022-12-30",15,0,"2012-07-12",5,"0",1,0.12,71,3823,0,0,0,0,"Nrrebro","Entire Unit",31,3.43398720448515,9,1.6094379124341,14615329,55874402767,9,"0","1","1","1","1","3",0,1,1,1,0,0,0,1,0
"27",118971,600859,54,1,"['email', 'phone', 'work_email']",55.69134,12.55701,4,1,2,1800,3,6,"1",16,46,76,344,"2022-12-30",28,0,"2011-07-28",4.64,"0",1,0.2,54,4173,0,0,0,0,"Nrrebro","Entire Unit",60,4.0943445622221,16,1.53471436623816,17413929,72668325717,16,"0","1","1","1","1","3",0,1,1,1,0,1,0,1,0
"28",119322,602647,0,1,"['email', 'phone']",55.68828,12.56401,6,1,6,1339,3,21,"1",27,57,87,362,"2022-12-30",14,0,"2011-06-07",4.75,"0",1,0.1,0,4224,0,0,0,0,"Nrrebro","Entire Unit",45,3.80666248977032,36,1.55814461804655,17842176,75365351424,36,"0","0","1","1","1","3",1,1,1,0,0,0,0,1,0
"29",709859,3652415,48,1,"['email', 'phone']",55.69019,12.56167,4,1,2,979,4,60,"1",0,27,45,247,"2022-12-30",25,0,"2014-03-10",4.68,"0",1,0.23,48,3217,0,0,0,0,"Nrrebro","Entire Unit",33,3.49650756146648,16,1.54329810992956,10349089,33293019313,16,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,1
"30",711746,3198506,55,1,"['email', 'phone']",55.70466,12.58439,5,2,5,1000,5,60,"1",0,0,0,32,"2022-12-30",7,0,"2014-08-22",4.33,"0",1,0.07,55,3052,0,0,0,0,"sterbro","Entire Unit",33,3.49650756146648,25,1.4655675420144,9314704,28428476608,25,"0","1","1","2","1","3",1,1,1,1,0,0,0,0,1
"31",135777,665428,NA,1,"['email', 'phone']",55.69223,12.54212,3,1,1,744,5,365,"1",0,0,0,0,"2022-12-30",6,0,"2012-05-22",5,"0",1,0.05,NA,3874,0,0,0,0,"Nrrebro","Entire Unit",25,3.2188758248682,9,1.6094379124341,15007876,58140511624,9,"0","0","1","1","1","3",0,1,1,0,0,0,0,0,1
"32",718831,3443745,67,1,"['email', 'phone']",55.66607,12.55027,6,1,3,1171,7,1125,"1",0,7,7,60,"2022-12-30",19,0,"2013-04-02",4.89,"0",1,0.16,67,3559,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",39,3.66356164612965,36,1.58719230348678,12666481,45080005879,36,"0","1","1","1","1","3",1,1,1,1,0,1,0,1,1
"33",719512,3712809,NA,1,"['email', 'phone']",55.68934,12.56422,2,1,1,1000,90,600,"1",0,0,30,32,"2022-12-30",14,0,"2012-10-16",4.4,"0",1,0.11,NA,3727,0,0,0,0,"Nrrebro","Entire Unit",33,3.49650756146648,4,1.48160454092422,13890529,51770001583,4,"0","1","1","1","1","3",1,1,1,0,0,0,0,1,1
"34",503631,2482360,43,1,"['email', 'phone']",55.69029,12.5706,3,1.5,2,1195,4,21,"1",0,8,8,29,"2022-12-30",3,0,"2019-07-22",5,"0",1,0.07,43,1257,0,0,0,0,"Indre By","Entire Unit",40,3.68887945411394,9,1.6094379124341,1580049,1986121593,9,"0","1","1","1","1","3",1,1,1,1,0,1,0,1,0
"35",504029,2054021,38,1,"['email', 'phone']",55.6852,12.59524,5,1,5,1300,5,365,"1",0,0,0,53,"2022-12-30",16,0,"2013-01-03",4.89,"0",1,0.13,38,3648,0,0,0,0,"Indre By","Entire Unit",43,3.76120011569356,25,1.58719230348678,13307904,48547233792,25,"0","1","1","1","1","3",1,0,1,0,0,0,0,0,1
"36",504051,2458414,NA,1,"['email', 'phone']",55.67637,12.5869,3,1,2,1179,1,1125,"1",0,0,0,0,"2022-12-30",31,0,"2012-07-31",4.97,"0",1,0.24,NA,3804,0,0,0,0,"Indre By","Entire Unit",39,3.66356164612965,9,1.60341984010854,14470416,55045462464,9,"0","1","1","1","1","1",1,1,1,0,0,0,0,0,1
"37",143230,695079,71,2,"['email', 'phone', 'work_email']",55.67367,12.59132,6,1,3,1856,2,30,"1",0,10,10,83,"2022-12-30",101,0,"2012-05-21",4.89,"0",1,0.78,71,3875,0,0,0,0,"Indre By","Entire Unit",62,4.12713438504509,36,1.58719230348678,15015625,58185546875,36,"1","1","1","1","2","2",1,1,1,1,0,1,1,1,1
"38",504223,1885053,0,1,"['email', 'phone']",55.66451,12.57625,4,1,3,990,4,30,"1",0,0,0,59,"2022-12-30",14,0,"2012-08-28",5,"0",1,0.11,0,3776,0,0,0,0,"Amager Vest","Entire Unit",33,3.49650756146648,16,1.6094379124341,14258176,53838872576,16,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"39",154529,743327,17,1,"['email', 'phone']",55.68701,12.53348,2,1,1,750,6,30,"1",23,53,83,349,"2022-12-30",11,1,"2018-06-19",5,"0",1,0.2,17,1655,0,0,0,0,"Frederiksberg","Entire Unit",25,3.2188758248682,4,1.6094379124341,2739025,4533086375,4,"0","1","1","1","1","3",1,1,1,0,0,1,1,1,1
"40",507911,119548,89,1,"['email', 'phone']",55.69291,12.57089,3,1,3,1100,6,62,"1",0,0,0,83,"2022-12-30",61,0,"2012-07-30",4.9,"0",1,0.48,89,3805,0,0,0,0,"Indre By","Entire Unit",37,3.61091791264422,9,1.58923520511658,14478025,55088885125,9,"0","1","1","1","2","3",1,1,1,1,0,1,1,1,1
"41",157093,754626,NA,1,"['email', 'phone', 'work_email']",55.68963,12.54277,4,1,4,887,3,1120,"1",0,0,0,0,"2022-12-30",36,0,"2014-06-03",4.77,"0",1,0.34,NA,3132,0,0,0,0,"Nrrebro","Entire Unit",30,3.40119738166216,16,1.56234630490025,9809424,30723115968,16,"0","1","1","1","1","3",1,1,1,0,0,0,0,0,1
"42",513116,2527577,100,1,"['email', 'phone']",55.66505,12.58187,4,1.5,3,1200,3,1125,"1",1,1,1,1,"2022-12-30",36,0,"2013-08-22",4.94,"0",1,0.32,100,3417,0,0,0,0,"Amager Vest","Entire Unit",40,3.68887945411394,16,1.59736533119983,11675889,39896512713,16,"0","1","1","1","1","3",1,1,0,1,0,1,1,1,1
"43",158241,759451,0,1,"['email', 'phone', 'work_email']",55.66394,12.54798,3,1,2,1029,3,28,"1",0,0,29,304,"2022-12-30",46,0,"2016-07-24",4.96,"0",1,0.59,0,2350,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",34,3.52636052461616,9,1.60140574073684,5522500,12977875000,9,"0","1","1","1","1","3",1,1,1,1,0,1,0,1,1
"44",171546,818458,0,1,"['email', 'phone']",55.67013,12.54954,2,1,1,754,5,730,"1",0,0,0,0,"2022-12-30",63,0,"2014-05-05",4.81,"0",1,0.6,0,3161,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",25,3.2188758248682,4,1.57069708411767,9991921,31584462281,4,"0","1","1","1","2","3",0,1,1,0,0,1,0,1,1
"45",514666,2535149,61,1,"['email', 'phone']",55.70274,12.58152,6,1,2,1424,2,1125,"1",7,19,43,318,"2022-12-30",118,0,"2012-07-31",4.56,"0",1,0.93,61,3804,0,0,0,0,"sterbro","Entire Unit",47,3.85014760171006,36,1.51732262352629,14470416,55045462464,36,"0","1","1","1","2","2",1,1,1,1,0,1,0,1,1
"46",516039,2541479,0,1,"['email', 'phone']",55.69516,12.52948,4,1,5,599,2,7,"1",3,13,19,213,"2022-12-30",23,0,"2013-01-02",4.61,"0",1,0.19,0,3649,0,0,0,0,"Frederiksberg","Entire Unit",20,2.99573227355399,16,1.52822785700856,13315201,48587168449,16,"0","1","1","1","1","2",0,1,1,0,0,1,0,0,0
"47",517272,2546236,69,1,"['email', 'phone']",55.70253,12.5789,6,1,3,1300,5,21,"1",0,0,0,8,"2022-12-30",37,0,"2013-08-11",4.95,"0",1,0.32,69,3428,0,0,0,0,"sterbro","Condominium",43,3.76120011569356,36,1.5993875765806,11751184,40283058752,36,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,0
"48",720038,3714910,50,1,"['email', 'phone']",55.66639,12.54657,3,1,1,775,7,30,"1",0,0,0,0,"2022-12-30",19,1,"2013-09-09",4.89,"0",1,0.17,50,3399,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",26,3.25809653802148,9,1.58719230348678,11553201,39269330199,9,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,1
"49",721973,3727769,100,1,"['email', 'phone']",55.67424,12.59703,2,1,1,800,1,180,"1",13,26,56,304,"2022-12-30",111,2,"2016-05-10",4.62,"1",1,1.37,100,2425,0,0,0,0,"Indre By","Entire Unit",27,3.29583686600433,4,1.53039470509365,5880625,14260515625,4,"0","1","1","1","2","1",1,1,1,0,0,1,0,1,1
"50",728263,49071,NA,2,"['email', 'phone']",55.67144,12.53327,6,1.5,4,1400,3,14,"1",0,0,0,0,"2022-12-30",1,0,"2013-01-03",5,"0",1,0.01,NA,3648,0,0,0,0,"Frederiksberg","Entire Unit",47,3.85014760171006,36,1.6094379124341,13307904,48547233792,36,"0","1","1","1","1","3",1,1,0,1,0,1,0,1,0
"51",729171,1424919,0,1,"['email', 'phone']",55.68737,12.54282,2,1,1,650,1,14,"1",0,0,0,0,"2022-12-30",36,0,"2012-10-29",4.84,"0",1,0.29,0,3714,0,0,0,0,"Nrrebro","Condominium",22,3.09104245335832,4,1.57691472072854,13793796,51230158344,4,"0","0","1","1","1","1",0,0,1,0,0,1,0,1,0
"52",519333,2555736,100,1,"['email', 'phone']",55.66952,12.58035,3,1,2,1150,2,7,"1",3,3,3,3,"2022-12-30",28,0,"2012-10-23",5,"0",1,0.23,100,3720,0,0,0,0,"Indre By","Entire Unit",38,3.63758615972639,9,1.6094379124341,13838400,51478848000,9,"0","0","1","1","1","2",1,1,1,0,0,1,0,1,0
"53",177321,150042,NA,2,"['email', 'phone', 'work_email']",55.70001,12.54819,2,1,1,1295,5,21,"1",0,0,0,0,"2022-12-30",71,0,"2011-08-06",4.92,"0",2,0.51,NA,4164,0,0,0,0,"Nrrebro","Entire Unit",43,3.76120011569356,4,1.59330853050422,17338896,72199162944,4,"0","1","1","1","2","3",1,1,1,1,0,0,0,0,0
"54",521617,2484983,71,1,"['email', 'phone']",55.70868,12.57317,6,1,4,1350,4,30,"1",0,0,0,0,"2022-12-30",117,0,"2012-07-05",4.91,"0",1,0.92,71,3830,0,0,0,0,"sterbro","Condominium",45,3.80666248977032,36,1.59127394180643,14668900,56181887000,36,"0","1","1","1","2","3",1,1,1,1,0,0,0,0,0
"55",523775,2575202,NA,2,"['email', 'phone']",55.69253,12.55971,2,1,1,700,4,1125,"1",0,0,0,0,"2022-12-30",18,0,"2012-07-06",4.71,"0",1,0.14,NA,3829,0,0,0,0,"Nrrebro","Entire Unit",23,3.13549421592915,4,1.54968790802833,14661241,56137891789,4,"0","0","1","1","1","3",1,1,1,0,0,1,1,0,1
"56",524476,2578994,0,1,"['email', 'phone']",55.66701,12.54965,3,1,3,679,4,14,"1",0,0,0,0,"2022-12-30",32,0,"2012-08-27",4.93,"0",1,0.25,0,3777,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",23,3.13549421592915,9,1.5953389880546,14265729,53881658433,9,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,0
"57",729196,574977,50,1,"['email', 'phone']",55.66744,12.55291,2,1,3,1250,4,30,"1",0,0,16,203,"2022-12-30",16,0,"2013-01-01",4.81,"0",1,0.13,50,3650,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",42,3.73766961828337,4,1.57069708411767,13322500,48627125000,4,"0","1","1","1","1","3",1,1,1,0,0,0,0,0,1
"58",731062,3803177,67,2,"['phone']",55.66648,12.58271,2,1,1,1103,2,14,"1",14,31,31,45,"2022-12-30",26,1,"2017-08-13",4.96,"0",1,0.4,67,1965,0,0,0,0,"Amager Vest","Entire Unit",37,3.61091791264422,4,1.60140574073684,3861225,7587307125,4,"1","1","1","1","1","2",0,1,1,1,0,1,0,1,0
"59",731763,2934381,0,1,"['email', 'phone']",55.66611,12.55368,2,1,1,750,4,1125,"1",0,0,0,0,"2022-12-30",16,0,"2012-12-31",4.07,"0",1,0.13,0,3651,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",25,3.2188758248682,4,1.4036429994545,13329801,48667103451,4,"0","0","1","1","1","3",1,0,1,0,0,0,0,0,1
"60",194022,941790,74,1,"['email', 'phone']",55.68998,12.56223,4,1,2,1996,3,21,"1",26,56,86,353,"2022-12-30",163,0,"2011-08-25",4.8,"0",1,1.18,74,4145,0,0,0,0,"Nrrebro","Loft",67,4.20469261939097,16,1.56861591791385,17181025,71215348625,16,"0","1","1","1","2","3",1,1,1,0,0,0,0,1,0
"61",735068,3834396,0,1,"['phone']",55.68435,12.53637,2,1,1,614,3,14,"1",25,34,34,34,"2022-12-30",89,0,"2012-10-22",4.81,"0",1,0.72,0,3721,0,0,0,0,"Frederiksberg","Entire Unit",20,2.99573227355399,4,1.57069708411767,13845841,51520374361,4,"0","1","1","1","2","3",0,1,1,1,0,1,0,0,0
"62",527702,1203690,90,1,"['email', 'phone']",55.67209,12.5894,3,1,2,1430,2,1125,"1",22,52,82,262,"2022-12-30",156,0,"2014-04-08",4.83,"0",1,1.47,90,3188,0,0,0,0,"Indre By","Loft",48,3.87120101090789,9,1.57484646766448,10163344,32400740672,9,"0","1","1","1","2","2",0,1,1,1,0,1,0,1,1
"63",206861,999404,86,1,"['email', 'phone']",55.69403,12.56543,4,1,2,1048,3,30,"1",0,0,0,0,"2022-12-30",61,0,"2011-10-23",4.92,"0",1,0.45,86,4086,0,0,0,0,"Nrrebro","Entire Unit",35,3.55534806148941,16,1.59330853050422,16695396,68217388056,16,"0","1","1","1","2","3",0,0,1,1,0,1,1,1,1
"64",218854,168254,20,1,"['email', 'phone']",55.68758,12.56053,2,1,1,803,4,21,"1",24,42,55,290,"2022-12-30",23,0,"2011-10-10",4.82,"0",1,0.17,20,4099,0,0,0,0,"Nrrebro","Entire Unit",27,3.29583686600433,4,1.57277392806251,16801801,68870582299,4,"0","0","1","1","1","3",1,1,1,0,0,0,0,0,0
"65",225323,293636,50,1,"['email', 'phone']",55.68298,12.5739,2,1,1,930,4,60,"1",0,0,0,0,"2022-12-30",24,0,"2012-04-01",4.85,"0",1,0.18,50,3925,0,0,0,0,"Indre By","Entire Unit",31,3.43398720448515,4,1.57897870494939,15405625,60467078125,4,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"66",529881,2603130,70,1,"['email', 'phone']",55.70195,12.57677,5,1,4,937,5,47,"1",1,11,11,84,"2022-12-30",16,0,"2012-07-26",4.81,"0",1,0.13,70,3809,0,0,0,0,"sterbro","Condominium",31,3.43398720448515,25,1.57069708411767,14508481,55262804129,25,"0","1","1","1","1","3",1,1,1,0,0,1,1,1,1
"67",753661,3964327,0,1,"['email', 'phone']",55.6887,12.56141,3,1,1,744,2,1125,"1",0,2,2,154,"2022-12-30",32,0,"2013-01-03",4.72,"0",1,0.26,0,3648,0,0,0,0,"Nrrebro","Entire Unit",25,3.2188758248682,9,1.55180879959746,13307904,48547233792,9,"0","1","1","1","1","2",1,1,1,0,0,0,0,1,1
"68",240802,1263184,75,1,"['email', 'phone']",55.68868,12.56086,4,1,4,2082,2,14,"1",0,27,57,147,"2022-12-30",9,0,"2011-12-06",5,"0",1,0.07,75,4042,0,0,0,0,"Nrrebro","Entire Unit",69,4.23410650459726,16,1.6094379124341,16337764,66037242088,16,"0","1","1","1","1","2",1,1,1,1,0,1,0,1,0
"69",758899,706027,60,1,"['email', 'phone']",55.68355,12.56529,6,1.5,3,1005,5,1125,"1",0,0,0,0,"2022-12-30",3,0,"2022-07-22",5,"0",1,0.56,60,161,0,0,0,0,"Indre By","Condominium",34,3.52636052461616,36,1.6094379124341,25921,4173281,36,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,1
"70",761032,3235759,18,1,"['email', 'phone']",55.68035,12.5531,4,1,1,1200,5,1125,"1",1,10,10,202,"2022-12-30",13,0,"2012-11-27",5,"0",1,0.11,18,3685,0,0,0,0,"Frederiksberg","Entire Unit",40,3.68887945411394,16,1.6094379124341,13579225,50039444125,16,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"71",763588,4025375,NA,1,"['email', 'phone']",55.69584,12.57621,2,1,1,1000,360,730,"1",30,60,90,365,"2022-12-30",0,0,"",4.89,"0",1,1,NA,869,1,0,1,1,"Indre By","Entire Unit",33,3.49650756146648,4,1.58719230348678,755161,656234909,4,"0","0","1","1","0","3",1,1,1,0,0,0,0,1,1
"72",532209,1281066,100,1,"['email', 'phone']",55.70809,12.58299,2,1,1,967,5,60,"1",0,16,16,16,"2022-12-30",24,1,"2012-07-10",4.36,"0",1,0.19,100,3825,0,0,0,0,"sterbro","Condominium",32,3.46573590279973,4,1.47247205736094,14630625,55962140625,4,"0","1","1","1","1","3",0,1,1,1,0,1,0,1,1
